Polish Title,Original Title,Rating,Votes,Genre
Harry Potter i więzień Azkabanu,Harry Potter and the Prisoner of Azkaban2004,7.63,412931,typFamilijny/Fantasy/Przygodowy
Ip Man,Yip Man2008,7.63,72580,typBiograficzny/Sztuki walki
Okno na podwórze,Rear Window1954,7.63,60369,typPsychologiczny/Dreszczowiec
Mulan,1998,7.63,163900,typAnimacja/Fantasy/Przygodowy
Ghost in the Shell,Kōkaku Kidōtai1995,7.63,68346,typAkcja/Sci-Fi/Anime
Chinatown,1974,7.62,70028,typKryminał/Film-Noir
Boże Ciało,2019,7.62,195359,typObyczajowy
Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles1994,7.62,307813,typDramat/Horror
Jak wytresować smoka 2,How to Train Your Dragon 22014,7.62,171509,typAnimacja/Familijny/Fantasy/Przygodowy
Mary i Max,Mary and Max2009,7.62,52487,typAnimacja/Dramat/Komedia
Persona,1966,7.62,30681,typDramat/Psychologiczny
2001: Odyseja kosmiczna,2001: A Space Odyssey1968,7.62,137864,typSci-Fi
Przypadek,1981,7.62,42665,typDramat/Psychologiczny/Polityczny
Vabank,1981,7.62,155828,typKomedia kryminalna
Imperium Słońca,Empire of the Sun1987,7.61,94317,typDramat/Wojenny
"Doktor Strangelove, lub jak przestałem się martwić i pokochałem bombę",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb1964,7.61,44483,typSatyra
Doskonały świat,A Perfect World1993,7.61,82385,typDramat
Deszczowa piosenka,Singin' in the Rain1952,7.61,52717,typKomedia/Musical/Romans
Psy,1992,7.61,209499,typSensacyjny
Bogowie ulicy,End of Watch2012,7.61,138358,typKryminał/Thriller
Ultimatum Bourne'a,The Bourne Ultimatum2007,7.61,179549,typSensacyjny
Cudowny chłopak,Wonder2017,7.6,122546,typDramat/Komedia/Obyczajowy
Wielka Szóstka,Big Hero 62014,7.6,162158,typAnimacja/Komedia/Akcja/Sci-Fi
Uprowadzona,Taken2008,7.6,352245,typSensacyjny
Ostatni samuraj,The Last Samurai2003,7.6,276939,typDramat historyczny
9 kompania,9 rota2005,7.6,100074,typDramat/Wojenny
Obdarowani,Gifted2017,7.6,86476,typDramat
Cud w celi nr 7,7. Koğuştaki Mucize2019,7.6,23053,typDramat
Rzeka tajemnic,Mystic River2003,7.6,183015,typThriller
Ziemia obiecana,1974,7.6,53389,typObyczajowy
Podejrzani,The Usual Suspects1995,7.6,103288,typKryminał/Thriller
American Beauty,1999,7.6,517938,typDramat/Komedia
Rzymskie wakacje,Roman Holiday1953,7.6,61912,typKomedia rom.
Nietykalni,The Untouchables1987,7.59,99854,typGangsterski
Wściekły Byk,Raging Bull1980,7.59,63388,typBiograficzny/Dramat
K-PAX,2001,7.59,327902,typDramat
Joe Black,Meet Joe Black1998,7.59,274892,typFantasy/Melodramat
Pociąg,1959,7.59,30182,typDramat/Psychologiczny
Ray,2004,7.59,54813,typBiograficzny/Dramat/Muzyczny
Hannibal,2001,7.59,351867,typThriller
Nie ma mocnych,1974,7.58,127224,typKomedia obycz.
Hobbit: Niezwykła podróż,The Hobbit: An Unexpected Journey2012,7.58,395595,typFantasy/Przygodowy
Senna,2010,7.58,36731,typBiograficzny/Dokumentalny/Sportowy
Dobrze się kłamie w miłym towarzystwie,Perfetti sconosciuti2016,7.58,170249,typDramat/Komedia
Nienawistna ósemka,The Hateful Eight2015,7.58,223999,typWestern
Iron Man,2008,7.58,375705,typAkcja/Sci-Fi
Tańcząc w ciemnościach,Dancer in the Dark2000,7.58,58808,typDramat/Musical
